"U0028","Vehicle Communication Bus A"
"P0687","ECM/PCM Power Relay Control Circuit High"
"P3415","Cylinder 2 Exhaust Valve Control Circuit Low"
"P0349","Camshaft Position Sensor 'A' Circuit Intermittent"
"P0392","Camshaft Position Sensor 'B' Circuit Low"
"P0888","TCM Power Relay Sense Circuit"
"P2664","B' Rocker Arm Actuator Control Circuit High"
"P4006","Battery Block 6 Overtemperature"
"P0167","O2 Sensor Heater Circuit"
"P0376","Timing Reference High Resolution Signal 'B' Too Many Pulses"
"P0436","Catalyst Temperature Sensor Range/Performance"
"P0AC0","Hybrid Battery Pack Current Sensor Circuit Range/Performance"
"P2767","Input/Turbine Speed Sensor 'B' Circuit No Signal"
"P2706","Shift Solenoid 'F'"
"P3465","Cylinder 9 Deactivation/lntake Valve Control Circuit/Open"
"P2222","NOx Sensor Heater Sense Circuit Range/Performance"
"P0641","Sensor Reference Voltage 'A' Circuit/Open"
"P2633","Fuel Pump 'B' Control Circuit Low"
"U0120","Reserved by J2012"
"P2042","Reductant Temperature Sensor Circuit"
"C1522","Motor Circuit Malfunction"
"P0312","Cylinder 12 Misfire Detected"
"P0731","Gear 1 Incorrect Ratio"
"P3492","Cylinder 12 Deactivation/lntake Valve Control Circuit High"
"P2320","Ignition Coil 'G' Secondary Circuit"
"P0630","VIN Not Programmed or Incompatible - ECM/PCM"
"P3027","Battery Block 17 Becomes Weak"
"P2251","O2 Sensor Negative Current Control Circuit/Open"
"P2053","Reductant Injector Circuit/Open"
"P2A04","O2 Sensor Circuit Range/Performance"
"P0190","Fuel Rail Pressure Sensor Circuit"
"P0531","A/C Refrigerant Pressure Sensor 'A' Circuit Range/Performance"
"U0401","Invalid Data Received From ECM/PCM"
"C1551","IG Power Supply Voltage Malfunction"
"P2025","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Performance"
"P0503","Vehicle Speed Sensor 'A' Intermittent/Erratic/High"
"P0362","Ignition Coil 'L' Primary/Secondary Circuit"
"P0607","Control Module Performance"
"P0547","Exhaust Gas Temperature Sensor Circuit"
"P2655","A' Rocker Arm Actuator Control Circuit/Open"
"P2071","Intake Manifold Tuning (IMT) Valve Stuck Closed"
"P0534","Air Conditioner Refrigerant Charge Loss"
"P2296","Fuel Pressure Regulator 2 Control Circuit High"
"P0110","Intake Air Temperature Sensor 1 Circuit"
"P2508","ECM/PCM Power Input Signal High"
"P0808","Clutch Position Sensor Circuit High"
"P0A92","Hybrid Generator Performance"
"P3478","Cylinder 10 Exhaust Valve Control Performance"
"U0223","Lost Communication With 'Door Window Motor B'"
"P0581","Cruise Control Multi-Function Input 'A' Circuit High"
"U0043","Vehicle Communication Bus B (Low)"
"P0810","Clutch Position Control Error"
"P0329","Knock Sensor 1 Circuit Input Intermittent"
"P0963","Pressure Control Solenoid 'A' Control Circuit High"
"P0488","Exhaust Gas Recirculation Throttle Position Control Range/Performance"
"P0160","O2 Sensor Circuit No Activity Detected"
"P0784","4-5 Shift"
"P2216","NOx Sensor Circuit High Input"
"P0293","Cylinder 11 Contribution/Balance"
"U0230","Lost Communication With Rear Gate Module"
"P0799","Pressure Control Solenoid 'C' Intermittent"
"U0318","Software Incompatibility with Brake System Control Module"
"P0A12","DC/DC Converter Enable Circuit Low"
"U0037","Vehicle Communication Bus B"
"P3456","Cylinder 7 Exhaust Valve Control Circuit High"
"P0599","Thermostat Heater Control Circuit High"
"P0860","Gear Shift Module Communication Circuit"
"P2631","O2 Sensor Pumping Current Trim Circuit High"
"P0143","O2 Sensor Circuit Low Voltage"
"P3429","Cylinder 4 Exhaust Valve Control Circuit/Open"
"P0358","Ignition Coil 'H' Primary/Secondary Circuit"
"P0335","Crankshaft Position Sensor 'A' Circuit"
"P2743","Transmission Fluid Temperature Sensor 'B' Circuit High"
"P0213","Cold Start Injector 1"
"U0189","Lost Communication With Digital Disc Player/Changer Module 'C'"
"P3020","Battery Block 10 Becomes Weak"
"P0719","Brake Switch 'B' Circuit Low"
"P2148","Fuel Injector Group 'A' Supply Voltage Circuit High"
"P2603","Coolant Pump Control Circuit High"
"U0420","Invalid Data Received From Power Steering Control Module"
"P2051","Reductant Injector Circuit Low"
"P0624","Fuel Cap Lamp Control Circuit"
"P0AAC","Hybrid Battery Pack Air Temperature Sensor 'A' Circuit"
"P2218","NOx Sensor Heater Control Circuit/Open"
"P0948","Hydraulic Pump Relay Circuit High"
"P0740","Torque Converter Clutch Circuit/Open"
"P2194","System Too Rich at Higher Load"
"P0727","Engine Speed Input Circuit No Signal"
"P2737","Pressure Control Solenoid 'F' Control Circuit Range/Performance"
"P0540","Intake Air Heater 'A' Circuit"
"P0501","Vehicle Speed Sensor 'A' Range/Performance"
"P0994","Transmission Fluid Pressure Sensor/Switch 'F' Circuit Low"
"P0263","Cylinder 1 Contribution/Balance"
"P2537","Ignition Switch Accessory Position Circuit Low"
"P0769","Shift Solenoid 'D' Intermittent"
"P0837","Four Wheel Drive (4WD) Switch Circuit Range/Performance"
"P0408","Exhaust Gas Recirculation Sensor 'B' Circuit High"
"P0A29","Battery Power Off Circuit High"
"P2413","Exhaust Gas Recirculation System Performance"
"P0704","Clutch Switch Input Circuit Malfunction"
"P2096","Post Catalyst Fuel Trim System Too Lean"
"P2268","Water in Fuel Sensor Circuit Intermittent"
"P2114","Throttle/Pedal Position Sensor 'C' Minimum Stop Performance"
"U0221","Lost Communication With 'Door Switch G'"
"P0410","Secondary Air Injection System"
"U0023","Low Speed CAN Communication Bus (High)"
"P0914","Gear Shift Position Circuit"
"U0041","Vehicle Communication Bus B (High)"
"P2126","Throttle/Pedal Position Sensor/Switch 'E' Circuit Range/Performance"
"P0187","Fuel Temperature Sensor B Circuit Low"
"P0926","Gear Shift Reverse Actuator Circuit Low"
"U0109","Lost Communication With Fuel Pump Control Module"
"P2016","Intake Manifold Runner Position Sensor/Switch Circuit Low"
"U0030","Vehicle Communication Bus A (Open)"
"P2164","Throttle/Pedal Position Sensor 'B' Maximum Stop Performance"
"P2446","Secondary Air Injection System Pump Stuck On"
"P3485","Cylinder 11 Exhaust Valve Control Circuit/Open"
"P0887","TCM Power Relay Control Circuit High"
"P2309","Ignition Coil 'D' Primary Control Circuit Low"
"P0460","Fuel Level Sensor 'A' Circuit"
"P0248","Turbo/Super Charger Wastegate Solenoid 'B' Range/Performance"
"P4023","Battery Block 23 Overtemperature"
"P0964","Pressure Control Solenoid 'B' Control Circuit/Open"
"P4041","Battery Block 41 Overtemperature"
"P0141","O2 Sensor Heater Circuit"
"P2133","Throttle/Pedal Position Sensor/Switch 'F' Circuit High Input"
"P0294","Cylinder 12 Injector Circuit Low"
"P2619","Crankshaft Position Signal Output Circuit High"
"P2723","Pressure Control Solenoid 'E' Performance or Stuck Off"
"P0695","Fan 3 Control Circuit Low"
"P1556","Reactor Temperature Sensor Circuit High"
"P2066","Fuel Level Sensor 'B' Performance"
"P2741","Transmission Fluid Temperature Sensor 'B' Circuit Range Performance"
"P0211","Injector Circuit/Open - Cylinder 11"
"P3432","Cylinder 4 Exhaust Valve Control Circuit High"
"P0013","B' Camshaft Position - Actuator Circuit"
"P2279","Intake Air System Leak"
"P4030","Battery Block 30 Overtemperature"
"P2640","Torque Management Feedback Signal 'A' High"
"P2523","A/C Request 'B' Circuit Low"
"P0130","O2 Sensor Circuit"
"P0382","Glow Plug/Heater Circuit 'B'"
"P2730","Pressure Control Solenoid 'E' Control Circuit High"
"P0A85","Hybrid Battery Pack Cooling Fan 3"
"P0615","Starter Relay Circuit"
"P0437","Catalyst Temperature Sensor Low"
"P0261","Cylinder 1 Injector Circuit Low"
"P2604","Intake Air Heater 'A' Circuit Range/Performance"
"P0063","HO2S Heater Control Circuit Low"
"P0107","Manifold Absolute Pressure/Barometric Pressure Circuit Low Input"
"P2172","Throttle Actuator Control System - Sudden High Airflow Detected"
"P2544","Torque Management Request Input Signal 'A'"
"P0844","Transmission Fluid Pressure Sensor/Switch 'A' Circuit Intermittent"
"P0275","Cylinder 5 Contribution/Balance"
"P2155","Fuel Injector Group 'D' Supply Voltage Circuit/Open"
"P2236","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P2411","Fuel Cap Sensor/Switch Circuit High"
"P0972","Shift Solenoid 'A' Control Circuit Range/Performance"
"P3405","Cylinder 1 Exhaust Valve Control Circuit/Open"
"P0983","Shift Solenoid 'D' Control Circuit High"
"P0807","Clutch Position Sensor Circuit Low"
"P0665","Intake Manifold Tuning Valve Control Circuit High"
"U0021","Low Speed CAN Communication Bus (Open)"
"P0739","TCM Engine Speed Output Circuit High"
"P0880","TCM Power Input Signal"
"P0487","Exhaust Gas Recirculation Throttle Position Control Circuit"
"P0228","Throttle/Pedal Position Sensor/Switch 'C' Circuit High"
"P0539","A/C Evaporator Temperature Sensor Circuit Intermittent"
"U0409","Invalid Data Received From Alternative Fuel Control Module"
"P0302","Cylinder 2 Misfire Detected"
"P0048","Turbo/Super Charger Boost Control Solenoid Circuit High"
"U0317","Software Incompatibility with Park Brake Control Module"
"P0A05","Motor Electronics Coolant Pump Control Circuit/Open"
"P0A82","Hybrid Battery Pack Cooling Fan 1"
"P2131","Throttle/Pedal Position Sensor/Switch 'F' Circuit Range Performance"
"U0173","Lost Communication With 'Restraints System Sensor D'"
"P0094","Fuel System Leak Detected - Small Leak"
"P2345","Cylinder #10 Above Knock Threshold"
"P0357","Ignition Coil 'G' Primary/Secondary Circuit"
"P2079","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Intermittent"
"P2433","Secondary Air Injection System Air Flow/Pressure Sensor Circuit High"
"P4024","Battery Block 24 Overtemperature"
"P2521","A/C Request 'A' Circuit High"
"P0821","Gear Lever X Position Circuit"
"P0124","Throttle/Pedal Position Sensor/Switch 'A' Circuit Intermittent"
"P0283","Cylinder 8 Injector Circuit High"
"P2428","Exhaust Gas Temperature Too High"
"P0678","Cylinder 8 Glow Plug Circuit"
"P0903","Clutch Actuator Circuit High"
"P0947","Hydraulic Pump Relay Circuit Low"
"P0014","B' Camshaft Position - Timing Over-Advanced or System Performance"
"P0934","Hydraulic Pressure Sensor Circuit Low"
"P2288","Injector Control Pressure Too High"
"P0444","Evaporative Emission System Purge Control Valve Circuit Open"
"P0026","Intake Valve Control Solenoid Circuit Range/Performance"
"P2036","Exhaust Gas Temperature Sensor Circuit High"
"P2500","Generator Lamp/L-Terminal Circuit Low"
"P0800","Transfer Case Control System (MIL Request)"
"P0407","Exhaust Gas Recirculation Sensor 'B' Circuit Low"
"P0981","Shift Solenoid 'D' Control Circuit Range/Performance"
"P0656","Fuel Level Output Circuit"
"P3470","Cylinder 9 Exhaust Valve Control Performance"
"U0142","Lost Communication With Body Control Module 'B'"
"U0308","Software Incompatibility with Throttle Actuator Control Module"
"P0A02","Motor Electronics Coolant Temperature Sensor Circuit Low"
"P2184","Engine Coolant Temperature Sensor 2 Circuit Low"
"P2639","Torque Management Feedback Signal 'A' Low"
"U0095","Reserved by J2012"
"P2199","Intake Air Temperature Sensor 1 / 2 Correlation"
"P0480","Fan 1 Control Circuit"
"U0310","Software Incompatibility with Fuel Pump Control Module"
"U0125","Lost Communication With Multi-axis Acceleration Sensor Module"
"P0252","Injection Pump Fuel Metering Control 'A' Range/Performance (Cam/Rotor/Injector)"
"P0203","Injector Circuit/Open - Cylinder 3"
"P0247","Turbo/Super Charger Wastegate Solenoid 'B'"
"P0234","Turbo/Super Charger Overboost Condition"
"P2325","Ignition Coil 'I' Primary Control Circuit High"
"P3045","Battery Block 35 Becomes Weak"
"U0015","Medium Speed CAN Communication Bus (Open)"
"U0171","Lost Communication With 'Restraints System Sensor B'"
"P0350","Ignition Coil Primary/Secondary Circuit"
"P2119","Throttle Actuator Control Throttle Body Range/Performance"
"P2208","NOx Sensor Heater Sense Circuit"
"P0195","Engine Oil Temperature Sensor"
"P0421","Warm Up Catalyst Efficiency Below Threshold"
"P2795","Gear Shift Direction Circuit High"
"P2431","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance"
"P2140","Throttle/Pedal Position Sensor/Switch 'E' / 'F' Voltage Correlation"
"P0072","Ambient Air Temperature Sensor Circuit Low"
"P2127","Throttle/Pedal Position Sensor/Switch 'E' Circuit Low Input"
"P0281","Cylinder 7 Contribution/Balance"
"P2210","NOx Sensor Heater Sense Circuit Low Input"
"P0083","Intake Valve Control Solenoid Circuit High"
"P0940","Hydraulic Oil Temperature Sensor Circuit High"
"P0901","Clutch Actuator Circuit Range/Performance"
"P4015","Battery Block 15 Overtemperature"
"P2169","Exhaust Pressure Regulator Vent Solenoid Control Circuit/Open"
"P0115","Engine Coolant Temperature Circuit"
"U0049","Vehicle Communication Bus C (Low)"
"P2088","A' Camshaft Position Actuator Control Circuit Low"
"P2104","Throttle Actuator Control System - Forced Idle"
"P2715","Pressure Control Solenoid 'D' Stuck On"
"P0400","Exhaust Gas Recirculation Flow"
"P0AC2","Hybrid Battery Pack Current Sensor Circuit High"
"P0685","ECM/PCM Power Relay Control Circuit /Open"
"U0076","Reserved by J2012"
"P2260","Secondary Air Injection System Control 'B' Circuit High"
"P0165","O2 Sensor Circuit Slow Response"
"U0235","Lost Communication With Cruise Control Front Distance Range Sensor"
"P2765","Input/Turbine Speed Sensor 'B' Circuit"
"P0632","Odometer Not Programmed - ECM/PCM"
"P0192","Fuel Rail Pressure Sensor Circuit Low"
"P2749","Intermediate Shaft Speed Sensor 'C' Circuit"
"P2549","Torque Management Request Input Signal 'B' Range/Performance"
"P0240","Turbo/Super Charger Boost Sensor 'B' Circuit Range/Performance"
"P0052","HO2S Heater Control Circuit High"
"P0201","Injector Circuit/Open - Cylinder 1"
"P0003","Fuel Volume Regulator Control Circuit Low"
"P0892","TCM Power Relay Sense Circuit Intermittent"
"P3025","Battery Block 15 Becomes Weak"
"P2237","O2 Sensor Positive Current Control Circuit/Open"
"P0047","Turbo/Super Charger Boost Control Solenoid Circuit Low"
"P0034","Turbo Charger Bypass Valve Control Circuit Low"
"P2576","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Erratic"
"U0154","Lost Communication With Restraints Occupant Sensing Control Module"
"P0876","Transmission Fluid Pressure Sensor/Switch 'D' Circuit Range/Performance"
"P2008","Intake Manifold Runner Control Circuit/Open"
"U0196","Lost Communication With Rear Seat Entertainment Control Module"
"P2419","Evaporative Emission System Switching Valve Control Circuit Low"
"P0605","Internal Control Module Read Only Memory (ROM) Error"
"P0545","Exhaust Gas Temperature Sensor Circuit Low"
"P0081","Intake Valve Control Solenoid Circuit"
"P2512","Event Data Recorder Request Circuit/ Open"
"P0812","Reverse Input Circuit"
"P0178","Fuel Composition Sensor Circuit Low"
"P2427","Exhaust Gas Recirculation Cooling Valve Control Circuit High"
"P0677","Cylinder 7 Glow Plug Circuit"
"P2778","Upshift Switch Circuit Intermittent/Erratic"
"U0116","Reserved by J2012"
"P2404","Evaporative Emission System Leak Detection Pump Sense Circuit Range/Performance"
"P2060","Reductant Injection Air Pump Control Circuit Low"
"P2562","Turbocharger Boost Control Position Sensor Circuit"
"P0862","Gear Shift Module Communication Circuit High"
"P0156","O2 Sensor Circuit"
"P0129","Barometric Pressure Too Low"
"U0166","Lost Communication With Auxiliary Heater Control Module"
"U0058","Vehicle Communication Bus D (Low)"
"U0035","Vehicle Communication Bus A (High)"
"P2139","Throttle/Pedal Position Sensor/Switch 'D' / 'F' Voltage Correlation"
"U0422","Invalid Data Received From Body Control Module"
"U0307","Software Incompatibility with Glow Plug Control Module"
"P0856","Traction Control Input Signal"
"P0939","Hydraulic Oil Temperature Sensor Circuit Low"
"P0742","Torque Converter Clutch Circuit Stuck On"
"P2529","Vacuum Reservoir Pressure Sensor Circuit Intermittent"
"P0829","5-6 Shift"
"P0220","Throttle/Pedal Position Sensor/Switch 'B' Circuit"
"P0492","Secondary Air Injection System Insufficient Flow"
"P0040","O2 Sensor Signals Swapped Bank 1 Sensor 1/ Bank 2 Sensor 1"
"P0542","Intake Air Heater 'A' Circuit High"
"P0001","Fuel Volume Regulator Control Circuit/Open"
"P0753","Shift Solenoid 'A' Electrical"
"P0476","Exhaust Pressure Control Valve Range/Performance"
"P2244","O2 Sensor Reference Voltage Performance"
"P4035","Battery Block 35 Overtemperature"
"P2037","Reductant Injection Air Pressure Sensor Circuit"
"P0553","Power Steering Pressure Sensor/Switch Circuit High Input"
"P0725","Engine Speed Input Circuit"
"P2758","Torque Converter Clutch Pressure Control Solenoid Control Circuit Stuck On"
"P2735","Pressure Control Solenoid 'F' Intermittent"
"P2207","NOx Sensor Heater Control Circuit High"
"P3413","Cylinder 2 Exhaust Valve Control Circuit/Open"
"P0346","Camshaft Position Sensor 'A' Circuit Range/Performance"
"P2558","Engine Coolant Level Sensor/Switch Circuit Low"
"P0771","Shift Solenoid 'E' Performance or Stuck Off"
"P0412","Secondary Air Injection System Switching Valve 'A' Circuit"
"P2535","Ignition Switch Run/Start Position Circuit High"
"P2420","Evaporative Emission System Switching Valve Control Circuit High"
"P0670","Glow Plug Module Control Circuit"
"P2280","Air Flow Restriction / Air Leak Between Air Filter and MAF"
"P3463","Cylinder 8 Exhaust Valve Control Circuit Low"
"P0774","Shift Solenoid 'E' Intermittent"
"P0239","Turbo/Super Charger Boost Sensor 'B' Circuit"
"P0462","Fuel Level Sensor 'A' Circuit Low"
"P0185","Fuel Temperature Sensor B Circuit"
"P0391","Camshaft Position Sensor 'B' Circuit Range/Performance"
"P0574","Cruise Control System - Vehicle Speed Too High"
"U0202","Lost Communication With 'Door Control Module D'"
"U0324","Software Incompatibility with HVAC Control Module"
"P0AEE","Motor Inverter Temperature Sensor 'A' Circuit Range/Performance"
"P0885","TCM Power Relay Control Circuit/Open"
"P4032","Battery Block 32 Overtemperature"
"P2221","NOx Sensor Heater Sense Circuit"
"P0456","Evaporative Emission System Leak Detected (very small leak)"
"P2642","Torque Management Feedback Signal 'B' Range/Performance"
"P2023","Intake Manifold Runner Position Sensor/Switch Circuit Intermittent"
"U0179","Lost Communication With 'Restraints System Sensor J'"
"P0132","O2 Sensor Circuit High Voltage"
"P0AFA","Hybrid Battery System Voltage Low"
"P0429","Catalyst Heater Control Circuit"
"P2732","Pressure Control Solenoid 'F' Performance or Stuck Off"
"P2653","B' Rocker Arm Actuator Control Circuit Low"
"U0082","Reserved by J2012"
"P0020","A' Camshaft Position Actuator Circuit"
"P0522","Engine Oil Pressure Sensor/Switch Low Voltage"
"P3018","Battery Block 8 Becomes Weak"
"P0751","Shift Solenoid 'A' Performance or Stuck Off"
"P3448","Cylinder 6 Exhaust Valve Control Circuit High"
"U0418","Invalid Data Received From Brake System Control Module"
"P2044","Reductant Temperature Sensor Circuit Low Input"
"U0077","Reserved by J2012"
"C1524","Motor Circuit Malfunction"
"P0314","Single Cylinder Misfire (Cylinder not Specified)"
"P0551","Power Steering Pressure Sensor/Switch Circuit Range/Performance"
"P2200","NOx Sensor Circuit"
"P3494","Cylinder 12 Exhaust Valve Control Performance"
"P0326","Knock Sensor 1 Circuit Range/Performance"
"P0105","Manifold Absolute Pressure/Barometric Pressure Circuit"
"P0796","Pressure Control Solenoid 'C' Performance or Stuck off"
"P2782","Downshift Switch Circuit Intermittent/Erratic"
"P0364","Reserved"
"P3414","Cylinder 2 Exhaust Valve Control Performance"
"P0805","Clutch Position Sensor Circuit"
"P2080","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"P0882","TCM Power Input Signal Low"
"P2777","Upshift Switch Circuit High"
"P3426","Cylinder 4 Deactivation/lntake Valve Control Performance"
"P0333","Knock Sensor 2 Circuit High"
"P0039","Turbo/Super Charger Bypass Valve Control Circuit Range/Performance"
"P0AEF","Drive Motor Inverter Temperature Sensor 'A' Circuit Low"
"P0A94","DC/DC Converter Performance"
"P2577","Direct Ozone Reduction Catalyst Efficiency Below Threshold"
"U0138","Reserved by J2012"
"U0186","Lost Communication With Audio Amplifier"
"U0002","High Speed CAN Communication Bus (Performance)"
"P0716","Input/Turbine Speed Sensor 'A' Circuit Range/Performance"
"U0197","Lost Communication With Telephone Control Module"
"P2338","Cylinder #3 Above Knock Threshold"
"P0209","Injector Circuit/Open - Cylinder 9"
"P0485","Fan Power/Ground Circuit"
"P2622","Throttle Position Output Circuit High"
"U0315","Software Incompatibility with Anti-Lock Brake System Control Module"
"P2021","Intake Manifold Runner Position Sensor/Switch Circuit Low"
"P0A14","Engine Mount Control Circuit/Open"
"P0598","Thermostat Heater Control Circuit Low"
"P4002","Battery Block 2 Overtemperature"
"P2651","B' Rocker Arm Actuator System Performance or Stuck Off"
"P0766","Shift Solenoid 'D' Performance or Stuck Off"
"P0372","Timing Reference High Resolution Signal 'A' Too Few Pulses"
"P3147","Transmission Malfunction"
"P0355","Ignition Coil 'E' Primary/Secondary Circuit"
"U0117","Reserved by J2012"
"P0A26","Generator Torque Sensor Circuit Intermittent"
"P3428","Cylinder 4 Deactivation/lntake Valve Control Circuit High"
"P2702","Transmission Friction Element 'C' Apply Time Range/Performance"
"P2409","Fuel Cap Sensor/Switch Circuit Range/Performance"
"P2317","Ignition Coil 'F' Secondary Circuit"
"P2000","NOx Trap Efficiency Below Threshold"
"P2502","Charging System Voltage"
"P0945","Hydraulic Pump Relay Circuit/Open"
"P0518","Idle Air Control Circuit Intermittent"
"C1515","Torque Sensor Zero Point Adjustment Undone"
"P3472","Cylinder 9 Exhaust Valve Control Circuit High"
"U0106","Lost Communication With Glow Plug Control Module"
"P2557","Engine Coolant Level Sensor/Switch Circuit Range/Performance"
"P0170","Fuel Trim"
"P0857","Traction Control Input Signal Range/Performance"
"P3483","Cylinder 11 Deactivation/lntake Valve Control Circuit Low"
"P0405","Exhaust Gas Recirculation Sensor 'A' Circuit Low"
"P2306","Ignition Coil 'C' Primary Control Circuit Low"
"P0568","Cruise Control Set Signal"
"P0331","Knock Sensor 2 Circuit Range/Performance"
"P0693","Fan 2 Control Circuit Low"
"P2292","Injector Control Pressure Erratic"
"P2276","O2 Sensor Signal Stuck Lean"
"P3038","Battery Block 28 Becomes Weak"
"P0A72","Generator Phase V Current"
"U0050","Vehicle Communication Bus C (High)"
"P2142","Exhaust Gas Recirculation Throttle Control Circuit High"
"P0245","Turbo/Super Charger Wastegate Solenoid 'A' Low"
"P0613","TCM Processor"
"P2212","NOx Sensor Heater Sense Circuit Intermittent"
"P0A4B","Generator Position Sensor Circuit"
"P0273","Cylinder 5 Injector Circuit Low"
"P2153","Fuel Injector Group 'C' Supply Voltage Circuit Low"
"C1512","Torque Sensor Circuit Malfunction"
"P0779","Pressure Control Solenoid 'B' Intermittent"
"P2618","Crankshaft Position Signal Output Circuit Low"
"P3452","Cylinder 7 Deactivation/lntake Valve Control Circuit High"
"P0953","Auto Shift Manual Control Circuit High"
"P3403","Cylinder 1 Deactivation/lntake Valve Control Circuit Low"
"P3017","Battery Block 7 Becomes Weak"
"P0579","Cruise Control Multi-Function Input 'A' Circuit Range/Performance"
"P3447","Cylinder 6 Exhaust Valve Control Circuit Low"
"U0417","Invalid Data Received From Park Brake Control Module"
"P3434","Cylinder 5 Deactivation/lntake Valve Control Performance"
"U0329","Software Incompatibility with Steering Column Control Module"
"P0663","Intake Manifold Tuning Valve Control Circuit/Open"
"P2262","Turbo Boost Pressure Not Detected - Mechanical"
"P2750","Intermediate Shaft Speed Sensor 'C' Circuit Range/Performance"
"U0293","Lost Communication with HV ECU"
"P0384","Reserved by SAE J2012"
"P2550","Torque Management Request Input Signal 'B' Low"
"P2668","Fuel Mode Indicator Lamp Control Circuit"
"P0457","Evaporative Emission System Leak Detected (fuel cap loose/off)"
"P0736","Reverse Incorrect Ratio"
"P3481","Cylinder 11 Deactivation/lntake Valve Control Circuit/Open"
"P2174","Throttle Actuator Control System - Sudden Low Airflow Detected"
"P0536","A/C Evaporator Temperature Sensor Circuit Range/Performance"
"P1555","Reactor Temperature Sensor Circuit Low"
"U0406","Invalid Data Received From Fuel Injector Control Module"
"P2229","Barometric Pressure Circuit High"
"P0974","Shift Solenoid 'A' Control Circuit High"
"U0213","Lost Communication With Mirror Control Module"
"P2343","Cylinder #8 Above Knock Threshold"
"P2049","Reductant Injector Circuit High"
"P0319","Rough Road Sensor 'B'"
"P2092","A' Camshaft Position Actuator Control Circuit Low"
"P2076","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance"
"U0137","Reserved by J2012"
"P0648","Immobilizer Lamp Control Circuit"
"P0327","Knock Sensor 1 Circuit Low"
"P0559","Brake Booster Pressure Sensor Circuit Intermittent"
"P0611","Fuel Injector Control Module Performance"
"P0045","Turbo/Super Charger Boost Control Solenoid Circuit/Open"
"P0922","Gear Shift Forward Actuator Circuit Low"
"P0369","Camshaft Position Sensor 'B' Circuit Intermittent"
"P2012","Intake Manifold Runner Control Circuit Low"
"P0304","Cylinder 4 Misfire Detected"
"P2442","Secondary Air Injection System Switching Valve Stuck Open"
"P2151","Fuel Injector Group 'B' Supply Voltage Circuit High"
"P0A84","Hybrid Battery Pack Cooling Fan 2"
"P0951","Auto Shift Manual Control Circuit Range/Performance"
"P3440","Cylinder 5 Exhaust Valve Control Circuit High"
"P3401","Cylinder 1 Deactivation/lntake Valve Control Circuit/Open"
"U0410","Invalid Data Received From Fuel Pump Control Module"
"P0661","Intake Manifold Tuning Valve Control Circuit Low"
"P0274","Cylinder 5 Injector Circuit High"
"P2062","Reductant Supply Control Circuit/Open"
"P2425","Exhaust Gas Recirculation Cooling Valve Control Circuit/Open"
"P0675","Cylinder 5 Glow Plug Circuit"
"P2636","Fuel Pump 'B' Low Flow / Performance"
"U0093","Reserved by J2012"
"P0788","Shift/Timing Solenoid High"
"P2196","O2 Sensor Signal Stuck Rich"
"P2285","Injector Control Pressure Sensor Circuit Low"
"P0588","Cruise Control Vent Control Circuit High"
"P0A19","Motor Torque Sensor Circuit Low"
"U0123","Lost Communication With Yaw Rate Sensor Module"
"U0141","Lost Communication With Body Control Module 'A'"
"P3223","Generator Inverter Temperature Sensor Circuit High"
"P0A40","Drive Motor 'A' Position Sensor Circuit Range/Performance"
"P2029","Fuel Fired Heater Disabled"
"P2323","Ignition Coil 'H' Secondary Circuit"
"P3043","Battery Block 33 Becomes Weak"
"U0211","Lost Communication With 'Seat Control Module D'"
"P0222","Throttle/Pedal Position Sensor/Switch 'B' Circuit Low"
"U0013","Medium Speed CAN Communication Bus (Low)"
"P2341","Cylinder #6 Above Knock Threshold"
"P2116","Throttle/Pedal Position Sensor 'E' Minimum Stop Performance"
"U0130","Lost Communication With Steering Effort Control Module"
"U0305","Software Incompatibility with Cruise Control Module"
"P0628","Fuel Pump 'A' Control Circuit Low"
"P2659","A' Rocker Arm Actuator Control Circuit High"
"C1532","ECU Malfunction"
"P2793","Gear Shift Direction Circuit"
"P2330","Ignition Coil 'K' Primary Control Circuit Low"
"P0A04","Motor Electronics Coolant Temperature Sensor Circuit Intermittent"
"P0998","Shift Solenoid 'F' Control Circuit Low"
"U0063","Vehicle Communication Bus D (shorted to Bus D)"
"P4013","Battery Block 13 Overtemperature"
"P2058","Reductant Injector Circuit High"
"P2035","Exhaust Gas Temperature Sensor Circuit Low"
"P0113","Intake Air Temperature Sensor 1 Circuit High"
"P0590","Cruise Control Multi-Function Input 'B' Circuit Stuck"
"U0046","Vehicle Communication Bus C"
"P0254","Injection Pump Fuel Metering Control 'A' High (Cam/Rotor/Injector)"
"P0708","Transmission Range Sensor Circuit High"
"P2713","Pressure Control Solenoid 'D'"
"P0683","Glow Plug Control Module to PCM Communication Circuit"
"P3420","Cylinder 3 Deactivation/lntake Valve Control Circuit High"
"P2205","NOx Sensor Heater Control Circuit/Open"
"P2282","Air Leak Between Throttle Body and Intake Valves"
"P0508","Idle Air Control System Circuit Low"
"P0918","Gear Shift Position Circuit Intermittent"
